"advc_uuid","federal_entity","municipality","id_type_property","id_region_conanp","certificate_number","advc_name","certification_year","validity","main_ecosystems","surface","has_overlap"
14,30,Amatlan de Reyes,1,5,CONANP-30-BIS 3/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 3Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",4.500508,0
15,30,Amatlan de Reyes,1,5,CONANP-30-BIS 4/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 4Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",9.99061,0
16,30,Amatlan de Reyes,1,5,CONANP-30-BIS 5/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 5Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.889649,0
17,30,Amatlan de Reyes,1,5,CONANP-30-BIS 6/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 6Z-1 P1/1E,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.385399,0
18,30,Amatlan de Reyes,1,5,CONANP-30-BIS 7/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 8Z-1 P1/1E,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.937231,0
19,30,Amatlan de Reyes,1,5,CONANP-30-BIS 8/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 9 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",8.484835,0
20,30,Amatlan de Reyes,1,5,CONANP-30-BIS 9/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 10 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",7.016356,0
21,30,Amatlan de Reyes,1,5,CONANP-30-BIS 10/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 11 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",8.719543,0
22,30,Amatlan de Reyes,1,5,CONANP-30-BIS 11/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 12-Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.502856,0
23,30,Amatlan de Reyes,1,5,CONANP-30-BIS 12/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 13 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",5.590399,0
24,30,Amatlan de Reyes,1,5,CONANP-30-BIS 13/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 15 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.881143,0
25,30,Amatlan de Reyes,1,5,CONANP-30-BIS 14/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 17 Z P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",5.585348,0
26,30,Amatlan de Reyes,1,5,CONANP-30-BIS 15/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 19 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",8.882243,0
27,20,San Juan Guichicovi,1,8,CONANP-201/2010,"68 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",4.5415,0
28,5,Ocampo,3,4,*CONANP-24/2005,Rancho Media Luna,2005,"50","matorral xerófilo micrófilo, matorral xerófilo halófito, matorral xerófilo gipsófilo, matorral xerófilo rosetófilo, matorral xerófilo crasicaule, pradera",15000,1
29,30,Amatlan de Reyes,1,5,CONANP-30-BIS 16/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 20 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",14.855768,0
30,30,Amatlan de Reyes,1,5,CONANP-30-BIS 17/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 21 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.636371,0
31,30,Amatlan de Reyes,1,5,CONANP-30-BIS  18/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 22 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.130807,0
32,30,Amatlan de Reyes,1,5,CONANP-30-BIS 19/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 23 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",3.514964,0
33,30,Amatlan de Reyes,1,5,CONANP-30-BIS 20/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 24 Z-1  P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",12.086967,0
34,30,Amatlan de Reyes,1,5,CONANP-30-BIS  21/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 25 Z-1  P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.73916,0
35,30,Amatlan de Reyes,1,5,CONANP-30-BIS 22/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 26 Z-1  P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",3.910833,0
36,30,Amatlan de Reyes,1,5,CONANP-30-BIS 23/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 28 Z-1  P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.315574,0
37,30,Amatlan de Reyes,1,5,CONANP-30-BIS 24/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac  29 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.393579,0
38,30,Amatlan de Reyes,1,5,CONANP-30-BIS 25/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 30 Z-1  P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.777222,0
39,30,Amatlan de Reyes,1,5,CONANP-30-BIS 26/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 31 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.251224,0
40,30,Amatlan de Reyes,1,5,CONANP-30-BIS 27/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 32 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.544401,0
41,30,Amatlan de Reyes,1,5,CONANP-30-BIS 28/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 34 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.924576,0
42,30,Amatlan de Reyes,1,5,CONANP-30-BIS 29/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 35 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.878738,0
43,30,Amatlan de Reyes,1,5,CONANP-30-BIS 30/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 37 Z-1  P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",5.100669,0
44,30,Amatlan de Reyes,1,5,CONANP-30-BIS 31/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 1 Z-1  P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.055822,0
45,30,Amatlan de Reyes,1,5,CONANP-30-BIS 32/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 2 Z-1  P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.452494,0
46,30,Amatlan de Reyes,1,5,CONANP-30-BIS 33/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 3 Z-1  P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.893981,0
47,30,Amatlan de Reyes,1,5,CONANP-30-BIS 34/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 5Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.212166,0
48,30,Amatlan de Reyes,1,5,CONANP-30-BIS 35/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac  6 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.144951,0
49,30,Amatlan de Reyes,1,5,CONANP-30-BIS 36/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 7 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",9.063499,0
50,30,Amatlan de Reyes,1,5,CONANP-30-BIS 37/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 9 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",11.545134,0
51,30,Amatlan de Reyes,1,5,CONANP-30-BIS 38/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 12 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.843918,0
52,30,Amatlan de Reyes,1,5,CONANP-30-BIS 39/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 15 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",5.151196,0
53,30,Amatlan de Reyes,1,5,CONANP-30-BIS 40/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 18 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.372648,0
264,20,San Juan Guichicovi,1,8,CONANP-231/2010,"26 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",9.3703,0
54,30,Amatlan de Reyes,1,5,CONANP-30-BIS 41/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 20 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.94717,0
55,30,Amatlan de Reyes,1,5,CONANP-30-BIS 42/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 25 Z-1  P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.496182,0
56,30,Amatlan de Reyes,1,5,CONANP-30-BIS 43/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 28 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.167063,0
57,30,Amatlan de Reyes,1,5,CONANP-30-BIS 44/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 29 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.117582,0
58,30,Amatlan de Reyes,1,5,CONANP-30-BIS 45/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 31 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.802911,0
59,30,Amatlan de Reyes,1,5,CONANP-30-BIS 46/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 32 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.429689,0
60,30,Amatlan de Reyes,1,5,CONANP-30-BIS 47/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 33 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.133455,0
61,30,Amatlan de Reyes,1,5,CONANP-30-BIS 48/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 34 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.902438,0
62,30,Amatlan de Reyes,1,5,CONANP-30-BIS 49/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 37 Z-1  P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.407352,0
63,30,Amatlan de Reyes,1,5,CONANP-30-BIS 50/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 38 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.110476,0
64,30,Amatlan de Reyes,1,5,CONANP-30-BIS 51/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 39 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.419823,0
65,30,Amatlan de Reyes,1,5,CONANP-30-BIS 52/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 40 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",3.122699,0
66,30,Amatlan de Reyes,1,5,CONANP-30-BIS 53/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 41 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.603706,0
67,30,Amatlan de Reyes,1,5,CONANP-30-BIS 54/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 42 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.021532,0
68,30,Amatlan de Reyes,1,5,CONANP-30-BIS 55/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 47 Z-1 P/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.197385,0
69,30,Amatlan de Reyes,1,5,CONANP-30-BIS 56/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 49 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.09762,0
70,30,Amatlan de Reyes,1,5,CONANP-30-BIS 57/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 50 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.238884,0
71,30,Amatlan de Reyes,1,5,CONANP-30-BIS 58/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 52 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",4.990557,0
72,30,Amatlan de Reyes,1,5,CONANP-30-BIS 59/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 53 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.23831,0
73,30,Amatlan de Reyes,1,5,CONANP-30-BIS 60/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 54 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.805722,0
74,30,Amatlan de Reyes,1,5,CONANP-30-BIS 61/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 55 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.076388,0
75,30,Amatlan de Reyes,1,5,CONANP-30-BIS 62/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 63 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",6.278518,0
76,30,Amatlan de Reyes,1,5,CONANP-30-BIS 63/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 64 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.466709,0
77,30,Amatlan de Reyes,1,5,CONANP-30-BIS 64/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 66 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.692554,0
78,30,Amatlan de Reyes,1,5,CONANP-30-BIS 65/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 67 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.8084,0
265,20,San Juan Guichicovi,1,8,CONANP-232/2010,"22 Z-1 P 1/1",2010,"15","selva alta perennifolia, selva mediana subperennifolia",7.5244,0
79,30,Amatlan de Reyes,1,5,CONANP-30-BIS 66/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 73 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.130722,0
80,30,Amatlan de Reyes,1,5,CONANP-30-BIS 67/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 74 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.144728,0
81,30,Amatlan de Reyes,1,5,CONANP-30-BIS 68/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 75 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.183795,0
82,30,Amatlan de Reyes,1,5,CONANP-30-BIS 69/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 76 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.814391,0
83,30,Amatlan de Reyes,1,5,CONANP-30-BIS 70/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 78 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",2.234095,0
84,30,Amatlan de Reyes,1,5,CONANP-30-BIS 71/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 79 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",5.443938,0
85,30,Amatlan de Reyes,1,5,CONANP-30-BIS 72/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 84 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.190639,0
86,30,Amatlan de Reyes,1,5,CONANP-30-BIS 73/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 86 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.177643,0
87,30,Amatlan de Reyes,1,5,CONANP-30-BIS 74/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 89 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.076673,0
88,30,Amatlan de Reyes,1,5,CONANP-30-BIS 75/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 93 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.078107,0
89,30,Amatlan de Reyes,1,5,CONANP-30-BIS 76/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 95 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.797529,0
90,30,Amatlan de Reyes,1,5,CONANP-30-BIS 77/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 96 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",0.7843,0
91,30,Amatlan de Reyes,1,5,CONANP-30-BIS 78/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 97 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.172647,0
92,30,Amatlan de Reyes,1,5,CONANP-30-BIS 79/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 98 Z-1 P1/1 ,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.157716,0
93,30,Amatlan de Reyes,1,5,CONANP-30-BIS 80/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 99 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",1.023787,0
94,30,Amatlan de Reyes,1,5,CONANP-30-BIS 81/2006,Reserva Ecológica Natural Cuenca Alta del Río Atoyac 100 Z-1 P1/1,2006,"30","selva alta perennifolia, selva mediana subperennifolia, galería riparia, ecosistema cavernícola, ecosistemas acuáticos",4.575957,0
